Constructor,Driver,FastestLap,Time,circuitName,grid,laps,number,points,position,positionText,raceName,round,season,status
ferrari,michael_schumacher,,"{'millis': '5641987', 'time': '1:34:01.987'}",Albert Park Grand Prix Circuit,3,58,3,10,1,1,Australian Grand Prix,1,2000,Finished
ferrari,barrichello,,"{'millis': '5653402', 'time': '+11.415'}",Albert Park Grand Prix Circuit,4,58,4,6,2,2,Australian Grand Prix,1,2000,Finished
williams,ralf_schumacher,,"{'millis': '5661996', 'time': '+20.009'}",Albert Park Grand Prix Circuit,11,58,9,4,3,3,Australian Grand Prix,1,2000,Finished
bar,villeneuve,,"{'millis': '5686434', 'time': '+44.447'}",Albert Park Grand Prix Circuit,8,58,22,3,4,4,Australian Grand Prix,1,2000,Finished
benetton,fisichella,,"{'millis': '5687152', 'time': '+45.165'}",Albert Park Grand Prix Circuit,9,58,11,2,5,5,Australian Grand Prix,1,2000,Finished
bar,zonta,,"{'millis': '5688455', 'time': '+46.468'}",Albert Park Grand Prix Circuit,16,58,23,1,6,6,Australian Grand Prix,1,2000,Finished
benetton,wurz,,"{'millis': '5688902', 'time': '+46.915'}",Albert Park Grand Prix Circuit,14,58,12,0,7,7,Australian Grand Prix,1,2000,Finished
minardi,gene,,,Albert Park Grand Prix Circuit,18,57,20,0,8,8,Australian Grand Prix,1,2000,+1 Lap
prost,heidfeld,,,Albert Park Grand Prix Circuit,15,56,15,0,9,9,Australian Grand Prix,1,2000,+2 Laps
sauber,salo,,,Albert Park Grand Prix Circuit,10,58,17,0,10,D,Australian Grand Prix,1,2000,Disqualified
williams,button,,,Albert Park Grand Prix Circuit,21,46,10,0,11,R,Australian Grand Prix,1,2000,Engine
sauber,diniz,,,Albert Park Grand Prix Circuit,19,41,16,0,12,R,Australian Grand Prix,1,2000,Transmission
minardi,mazzacane,,,Albert Park Grand Prix Circuit,22,40,21,0,13,R,Australian Grand Prix,1,2000,Gearbox
jordan,frentzen,,,Albert Park Grand Prix Circuit,5,39,5,0,14,R,Australian Grand Prix,1,2000,Hydraulics
jordan,trulli,,,Albert Park Grand Prix Circuit,6,35,6,0,15,R,Australian Grand Prix,1,2000,Engine
prost,alesi,,,Albert Park Grand Prix Circuit,17,27,14,0,16,R,Australian Grand Prix,1,2000,Hydraulics
mclaren,hakkinen,,,Albert Park Grand Prix Circuit,1,18,1,0,17,R,Australian Grand Prix,1,2000,Engine
arrows,verstappen,,,Albert Park Grand Prix Circuit,13,16,19,0,18,R,Australian Grand Prix,1,2000,Suspension
mclaren,coulthard,,,Albert Park Grand Prix Circuit,2,11,2,0,19,R,Australian Grand Prix,1,2000,Engine
arrows,rosa,,,Albert Park Grand Prix Circuit,12,6,18,0,20,R,Australian Grand Prix,1,2000,Suspension
jaguar,irvine,,,Albert Park Grand Prix Circuit,7,6,7,0,21,R,Australian Grand Prix,1,2000,Spun off
jaguar,herbert,,,Albert Park Grand Prix Circuit,20,1,8,0,22,R,Australian Grand Prix,1,2000,Clutch
ferrari,michael_schumacher,,"{'millis': '5495271', 'time': '1:31:35.271'}",Autódromo José Carlos Pace,3,71,3,10,1,1,Brazilian Grand Prix,2,2000,Finished
benetton,fisichella,,"{'millis': '5535169', 'time': '+39.898'}",Autódromo José Carlos Pace,5,71,11,6,2,2,Brazilian Grand Prix,2,2000,Finished
jordan,frentzen,,"{'millis': '5537539', 'time': '+42.268'}",Autódromo José Carlos Pace,7,71,5,4,3,3,Brazilian Grand Prix,2,2000,Finished
jordan,trulli,,"{'millis': '5568051', 'time': '+1:12.780'}",Autódromo José Carlos Pace,12,71,6,3,4,4,Brazilian Grand Prix,2,2000,Finished
williams,ralf_schumacher,,,Autódromo José Carlos Pace,11,70,9,2,5,5,Brazilian Grand Prix,2,2000,+1 Lap
williams,button,,,Autódromo José Carlos Pace,9,70,10,1,6,6,Brazilian Grand Prix,2,2000,+1 Lap
arrows,verstappen,,,Autódromo José Carlos Pace,14,70,19,0,7,7,Brazilian Grand Prix,2,2000,+1 Lap
arrows,rosa,,,Autódromo José Carlos Pace,16,70,18,0,8,8,Brazilian Grand Prix,2,2000,+1 Lap
bar,zonta,,,Autódromo José Carlos Pace,8,69,23,0,9,9,Brazilian Grand Prix,2,2000,+2 Laps
minardi,mazzacane,,,Autódromo José Carlos Pace,20,69,21,0,10,10,Brazilian Grand Prix,2,2000,+2 Laps
mclaren,coulthard,,,Autódromo José Carlos Pace,2,71,2,0,11,D,Brazilian Grand Prix,2,2000,Disqualified
jaguar,herbert,,,Autódromo José Carlos Pace,17,51,8,0,12,R,Brazilian Grand Prix,2,2000,Gearbox
minardi,gene,,,Autódromo José Carlos Pace,18,31,20,0,13,R,Brazilian Grand Prix,2,2000,Engine
mclaren,hakkinen,,,Autódromo José Carlos Pace,1,30,1,0,14,R,Brazilian Grand Prix,2,2000,Oil pressure
ferrari,barrichello,,,Autódromo José Carlos Pace,4,27,4,0,15,R,Brazilian Grand Prix,2,2000,Hydraulics
